2737,,,,,,,,,,,,,,
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes,Radius,Diameter,Avg Diameter
81,0.29957664,-0.83952188,0.1611118,0.42367426,5.217948,2.6665888,0.98220956,3,1,0,1000,6.203504909,12.40700982,
82,-0.20886105,0.016229359,0.95682037,0.20151539,0.46441713,1.1029243,4.7285008,5,1,0,5000,10.60784418,21.21568836,
83,-0.68941247,-0.26537681,0.010274916,0.6739288,0.35220432,1.662353,5.9004908,9,1,1,79000,26.61824965,53.23649931,
84,-0.25611725,-0.45784846,0.65581608,0.54284799,3.325062,2.4367988,4.8563352,3,1,0,3000,8.947002289,17.89400458,
85,-0.66380543,0.35815942,-0.42130169,0.50357628,3.4543438,1.692287,0.79859722,7,1,0,44000,21.90053323,43.80106646,
86,-0.042187355,-0.33886611,-0.81237239,0.47269553,2.4907517,0.69698662,5.8800611,6,1,1,10000,13.36504618,26.73009235,
87,-0.4395957,-0.78577101,0.42783508,0.079225935,0.4385691,2.1330976,4.3723621,8,1,0,68000,25.32056746,50.64113492,
88,-0.89595962,0.13008301,0.41745338,0.077893674,1.2347312,0.50084454,0.92647791,6,1,0,11000,13.79647141,27.59294282,
89,-0.38103575,0.31133208,-0.58375585,0.64584297,1.9294484,0.8192535,1.9234687,1,1,0,2000,7.815926418,15.63185284,
90,0.013635485,0.2665965,0.32899219,0.90581703,4.312902,0.54044312,1.2735132,5,1,1,52000,23.15465128,46.30930257,
91,0.29957664,-0.83952188,0.1611118,0.42367426,0.35265198,2.505239,5.5703983,4,1,0,13000,14.58651628,29.17303256,
92,0.61545217,-0.24475434,0.37127891,0.65074253,0.62031776,1.4337289,5.4593391,3,1,0,9000,12.90381021,25.80762041,
93,-0.47624108,-0.023126548,0.14507763,0.86695564,5.2336969,0.96900803,5.6594796,5,1,0,22000,17.38246474,34.76492949,
94,0.13081549,-0.51082975,-0.65185648,0.54499859,1.1521403,1.2141924,0.10365357,2,1,0,1000,6.203504909,12.40700982,
95,0.24432717,0.66722327,-0.51611221,0.47827342,0.7116251,2.6892922,3.9616861,34,1,0,699000,55.05492671,110.1098534,
96,-0.70094842,0.56196541,0.09235391,0.42934483,2.1982296,1.7265525,2.0223546,3,1,0,3000,8.947002289,17.89400458,
97,-0.52221406,-0.21184343,0.36947799,0.73885101,3.8232856,1.3989525,1.8835464,7,1,0,10000,13.36504618,26.73009235,
98,0.3546963,0.67561722,0.51894897,0.38525832,0.67483407,1.2775849,0.61890137,3,1,0,11000,13.79647141,27.59294282,
99,-0.13698627,0.64536268,-0.38845378,0.64330816,4.1342373,1.6506627,3.3674855,35,1,0,577000,51.64509349,103.290187,
100,-0.12752876,0.353681,-0.85872746,0.34818575,6.24404,0.77088779,2.4103172,4,1,1,15000,15.29915871,30.59831742,
101,0.47428069,0.75097507,0.041512482,0.45757073,4.0586152,2.186841,2.0436182,8,1,1,30000,19.2757321,38.55146421,
102,-0.69158173,-0.27979797,-0.66220254,0.070111267,5.0458045,0.94510943,1.5249053,3,1,0,4000,9.847450218,19.69490044,
103,0.37566638,0.1386935,-0.32478052,0.85682935,3.8575788,0.8240183,3.1502385,5,1,1,42000,21.56354836,43.12709671,
104,-0.35779724,0.12597327,-0.91880095,0.10916388,1.1140127,0.77813518,1.7910661,5,1,1,15000,15.29915871,30.59831742,
105,0.043046575,-0.079382189,0.32629704,0.94094402,3.6496298,2.1855574,5.8812685,6,1,0,35000,20.29207591,40.58415183,
106,0.026005322,0.12609276,-0.81435704,0.56590372,5.3575077,2.1952517,5.1726065,11,1,0,187000,35.47461295,70.9492259,
107,0.83461499,-0.4510197,-0.21665275,0.23034889,6.2027998,2.6314473,5.1846809,3,1,0,2000,7.815926418,15.63185284,
108,-0.51651305,0.83019012,0.1299113,0.1646868,4.601047,2.7189364,0.34634188,12,1,1,195000,35.97344257,71.94688513,
109,-0.43253168,-0.33132559,-0.42245102,0.72434443,0.28615296,1.1699117,4.1907787,7,1,0,13000,14.58651628,29.17303256,
110,-0.7153101,-0.31107983,0.078919433,0.62075156,0.76998937,2.4551113,6.0162425,10,1,0,77000,26.39170037,52.78340074,
111,0.89373773,-0.30946013,0.32424834,0.018175684,2.0323956,1.1014925,0.37518758,14,1,0,59000,24.15022238,48.30044475,
112,0.3996422,-0.11631766,-0.90582192,0.079012357,3.3158474,1.4100274,4.4093256,5,1,0,5000,10.60784418,21.21568836,
113,0.27675617,0.78195786,-0.35470864,0.43142754,3.9812226,1.3874779,1.7203891,17,1,0,164000,33.95614762,67.91229523,
114,0.64557558,0.12457062,-0.38811216,0.64581984,0.4031525,0.20538135,1.8787602,18,1,0,109000,29.63325077,59.26650154,
115,-0.72278053,0.40772107,0.54284441,0.12911904,5.8207541,1.623951,3.1365829,7,1,0,15000,15.29915871,30.59831742,
116,0.4267191,-0.11767036,0.87185013,0.20962316,1.5376835,0.91709477,2.0758214,12,1,1,155000,33.32327647,66.64655294,
117,-0.69613695,0.14201064,0.59719104,0.37227583,5.068584,1.5803437,5.4710579,25,1,1,186000,35.41126529,70.82253059,
118,0.44448385,-0.81043208,-0.030234231,0.38042071,4.6168408,1.6824968,2.2846677,8,1,0,25000,18.13915839,36.27831679,
119,0.84086019,0.45802432,-0.047037277,0.28452662,3.8042006,2.5565059,2.8066564,3,1,1,4000,9.847450218,19.69490044,
120,0.23040038,0.54554701,-0.64908248,0.47747874,4.8936901,1.4045339,1.4080511,4,1,0,12000,14.20248085,28.40496169,
121,0.80338842,-0.50227278,-0.23157132,0.22059867,4.4206967,0.6594336,4.2937517,9,1,0,12000,14.20248085,28.40496169,
122,-0.65805215,-0.63338453,-0.28967011,0.28615144,1.5578083,2.302875,0.025209205,3,1,1,7000,11.86687798,23.73375597,
123,-0.66115475,0.026101397,-0.22041264,0.71666682,0.758192,2.1843312,3.5411217,7,1,0,21000,17.11499967,34.22999934,
124,-0.28018194,-0.23229295,-0.56655335,0.73929381,5.5329604,2.0207605,3.9896741,23,1,0,130000,31.42569668,62.85139335,
125,-0.0875495,0.67269176,0.57981157,0.45126426,2.3735559,1.151834,4.7683229,6,1,0,8000,12.40700982,24.81401964,
126,-0.63904589,-0.42222825,-0.28911021,0.57424641,0.27759695,0.71807069,4.2792397,5,1,0,7000,11.86687798,23.73375597,
127,-0.25649559,-0.57553309,-0.77624834,0.020252919,2.6962638,1.3633687,0.39315912,23,1,1,220000,37.44938504,74.89877008,
128,0.37610915,-0.40224379,0.64540046,0.52933919,2.8854873,1.4318422,2.3994982,8,1,0,10000,13.36504618,26.73009235,
129,0.87803495,0.25668484,-0.080901504,0.3957555,1.7976779,1.472694,4.2050505,7,1,0,17000,15.95095797,31.90191594,
130,0.18487749,-0.26965153,0.85926139,0.39341867,2.0291767,2.0250847,0.86658818,7,1,0,26000,18.3778589,36.75571781,
131,-0.274436,-0.14082454,0.88725615,0.3429721,4.4565434,1.2801577,2.7151012,12,1,0,42000,21.56354836,43.12709671,
132,0.84939957,0.37448627,-0.07081712,0.36505532,3.7484498,2.3795671,2.9179561,2,1,1,2000,7.815926418,15.63185284,
133,-0.042140596,-0.20318976,-0.92387992,0.32153374,2.2673864,1.0601959,0.56024516,7,1,0,9000,12.90381021,25.80762041,
134,-0.80583835,0.58971351,0.050830919,0.016696023,2.4942448,2.161587,0.20669468,9,1,0,22000,17.38246474,34.76492949,
135,-0.42627418,-0.6945622,0.40878877,0.41081068,1.5544183,1.6051786,2.7069848,2,1,0,3000,8.947002289,17.89400458,
136,-0.49431968,0.80276984,-0.030409502,0.33209017,3.775681,1.2137476,3.3749559,11,1,0,83000,27.06012682,54.12025365,
137,0.3546963,0.67561722,0.51894897,0.38525832,4.3979969,3.0345361,5.6615005,6,1,0,11000,13.79647141,27.59294282,
138,-0.97711664,0.061037291,-0.19056909,0.07211747,5.5357642,1.2795055,4.14189,15,1,0,76000,26.2769524,52.5539048,
139,-0.098563261,0.93590212,0.062974356,0.33227509,4.1035156,1.4727948,2.6623044,4,1,0,7000,11.86687798,23.73375597,
140,-0.71412098,-0.52060741,-0.44659239,0.1398371,6.1383829,1.231876,2.6347589,1,1,0,1000,6.203504909,12.40700982,
141,-0.21823998,-0.27854162,-0.87757057,0.32350543,2.1238072,0.72338146,0.31142351,4,1,1,21000,17.11499967,34.22999934,
142,0.72806978,0.57576591,-0.10933959,0.35560217,1.3857263,1.6698422,2.1708858,7,1,0,40000,21.21568836,42.43137672,
143,0.59163624,0.4296456,-0.57618445,0.36521602,4.7755427,1.6401093,3.5193555,7,1,1,23000,17.64194277,35.28388554,
144,-0.89595962,0.13008301,0.41745338,0.077893674,3.8953655,1.7122289,1.446182,11,1,0,28000,18.83749459,37.67498919,
145,-0.35390428,0.28094086,-0.19649376,0.87018055,5.2372994,0.78271991,3.888447,10,1,0,20000,16.83890301,33.67780602,
146,0.34582525,-0.15407625,-0.6796298,0.62830621,3.5470786,0.77655685,4.3853431,3,1,1,7000,11.86687798,23.73375597,
